fa=0.01,thresh=1.19
fa=0.02,thresh=0.3
fa=0.04,thresh=-0.42
fa=0.05,thresh=-0.61
fa=0.1,thresh=-1.34
fa=0.2,thresh=-2.2
fa=0.3,thresh=-2.64
fa=0.4,thresh=-2.93
fa=0.5,thresh=-3.21
fa=0.8,thresh=-3.7
